Topic,Words,Frequency,Timestamp
16,"крым, сроки, крыма, планируется, временно",26,2022-11-21 00:00:00+00:00
19,"завершился, завершилось, переговорах, переговоров, лукашенко",3,2022-11-21 00:00:00+00:00
20,"русская, мысли, день, родина, рождения",2,2022-11-21 00:00:00+00:00
21,"кремля, отставке, назначен, российской федерации, посол",2,2022-11-21 00:00:00+00:00
22,"экстремистов, боевиков, задержали, украинских, задержан",4,2022-11-21 00:00:00+00:00
29,"родился, словами, основатель, истории, автор",1,2022-11-21 00:00:00+00:00
30,"планируется, вооруженных, планирует, переговоры, сообщается",1,2022-11-21 00:00:00+00:00
-1,"военные, военных, обороны, войск, конфликта",1802,2022-12-21 00:00:00+00:00
0,"военнослужащих, военные, обороны, войска, военных",1051,2022-12-21 00:00:00+00:00
1,"конфликта, вооруженные, боевиков, протесты, властями",10,2022-12-21 00:00:00+00:00
2,"грузии, протестующих, протестующие, надеется, протестов",5,2022-12-21 00:00:00+00:00
3,"ситуация, беспилотников, вооруженных сил, военные, южной",7,2022-12-21 00:00:00+00:00
4,"цены, недовольство, протесты, отставку, призвал",1,2022-12-21 00:00:00+00:00
5,"доверие, доверия, большинство, россиян, политические",5,2022-12-21 00:00:00+00:00
6,"поручил, кремль, кремле, войска, остановить",56,2022-12-21 00:00:00+00:00
7,"президентские, выборами, выборах, выборы, президентских выборах",4,2022-12-21 00:00:00+00:00
8,"обороны, вооруженных сил, вооруженных, военно, вооружённых",1,2022-12-21 00:00:00+00:00
10,"военных, армии, верховному, армия, майора",3,2022-12-21 00:00:00+00:00
13,"санкций, санкции, санкции против, врагов, список",2,2022-12-21 00:00:00+00:00
15,"бразилии, переговорах, ждут, встречу, переговоров",2,2022-12-21 00:00:00+00:00
21,"назначен, назначил, подписал указ, посла, посол",2,2022-12-21 00:00:00+00:00
22,"силовиков, уголовное, силовики, соцсети, грозит",1,2022-12-21 00:00:00+00:00
23,"премьером, премьер министра, премьер министр, премьер министром, премьер",7,2022-12-21 00:00:00+00:00
24,"напомнил, россию, целью, русскими, крыму",2,2022-12-21 00:00:00+00:00
25,"гражданство, обратился, угроза, россию, рассказать",5,2022-12-21 00:00:00+00:00
-1,"военных, конфликта, мобилизации, обороны, военной",1347,2023-01-20 00:00:00+00:00
0,"украину, украинских, россию, военные, войска",778,2023-01-20 00:00:00+00:00
1,"вооруженные, вооруженных, происходит, ситуация, боевиков",10,2023-01-20 00:00:00+00:00
2,"грузии, властям, обвинил, спецслужб, политический",5,2023-01-20 00:00:00+00:00
3,"ядерного оружия, ядерной, ядерного, произошло, обороны",3,2023-01-20 00:00:00+00:00
4,"франции, отставку, протесты, выборах, парламенте",2,2023-01-20 00:00:00+00:00
5,"доверие, доверия, главе государства, политиков, неделю",16,2023-01-20 00:00:00+00:00
7,"турции, выборы, выборах, выборов, туре",11,2023-01-20 00:00:00+00:00
8,"гражданской, авиации, воздушное, 100, великой отечественной",1,2023-01-20 00:00:00+00:00
9,"назначен, назначил, заместителя, назначены, замминистра",7,2023-01-20 00:00:00+00:00
10,"военных, майора, самое главное, верховному, верховным",1,2023-01-20 00:00:00+00:00
12,"абхазии, совета безопасности, суверенитета, республику, республики",1,2023-01-20 00:00:00+00:00
13,"санкции против, санкции, антироссийских, санкций, список",2,2023-01-20 00:00:00+00:00
14,"кремле, ближайшее время, осетии, состоится, абхазии",1,2023-01-20 00:00:00+00:00
15,"бразилии, обсудить, предлагает, серьезно, обмен",4,2023-01-20 00:00:00+00:00
20,"говорит, мысли, сказал, русским, говорится",1,2023-01-20 00:00:00+00:00
21,"отставке, кремля, подписал указ, указом, указ",3,2023-01-20 00:00:00+00:00
23,"израиль, переговоры, израиля, обсудили, премьер министра",1,2023-01-20 00:00:00+00:00
25,"гражданство, боевиков, россию, обратился, российское",1,2023-01-20 00:00:00+00:00
-1,"украину, украинских, конфликта, россию, переговоры",2351,2023-02-19 00:00:00+00:00
0,"россию, конфликта, россией, война, войны",1691,2023-02-19 00:00:00+00:00
1,"происходит, вооруженные, выборы, конфликта, боевиков",16,2023-02-19 00:00:00+00:00
2,"грузии, протесты, протестов, силовиков, протеста",21,2023-02-19 00:00:00+00:00
3,"украину, поставки, спецоперации украине, южной, ядерного оружия",1,2023-02-19 00:00:00+00:00
4,"протестующие, протеста, протесты, франции, беспорядки",2,2023-02-19 00:00:00+00:00
5,"доверия, кремле, россиян, искренне, честно",3,2023-02-19 00:00:00+00:00
7,"турции, выборах, выборы, выборов, оппозиции",8,2023-02-19 00:00:00+00:00
9,"назначил, назначен, назначены, заместителя, подписал указ",4,2023-02-19 00:00:00+00:00
10,"майора, уважаемые, военные, военных, верховному",4,2023-02-19 00:00:00+00:00
12,"абхазии, переговоры, делегация, обсудили, соотечественников",1,2023-02-19 00:00:00+00:00
13,"санкциями, санкции против, санкции, санкций, запретил",9,2023-02-19 00:00:00+00:00
14,"осетии, понимают, военнослужащие, уверенностью, обеспечения",1,2023-02-19 00:00:00+00:00
16,"благодаря, восстановлению, работает, восстановления, спасибо",1,2023-02-19 00:00:00+00:00
19,"завершился, переговорах, переговоров, переговоры, часа",10,2023-02-19 00:00:00+00:00
21,"подписал указ, назначил, назначен, указом, указ",1,2023-02-19 00:00:00+00:00
22,"терроризма, уголовное, ненависти, военнослужащим, уголовного",1,2023-02-19 00:00:00+00:00
24,"крыму, крым, крыма, собрались, россией",6,2023-02-19 00:00:00+00:00
25,"гражданство, российское, граждане, русских, российского",8,2023-02-19 00:00:00+00:00
26,"британские, властей, великобритания, переговорах, великобритании",1,2023-02-19 00:00:00+00:00
27,"абхазии, грузии, беспорядков, меры, ситуацией",1,2023-02-19 00:00:00+00:00
30,"властей, чиновников, убийства, снова, левых",1,2023-02-19 00:00:00+00:00
-1,"военных, обороны, армии, украину, нужно",1650,2023-03-21 00:00:00+00:00
0,"украинских, военные, военнослужащих, военных, ситуация",1029,2023-03-21 00:00:00+00:00
1,"боевиков, вооруженные, происходит, протесты, террористов",9,2023-03-21 00:00:00+00:00
2,"обвинил, власть, правящей, ответственность, президентский",1,2023-03-21 00:00:00+00:00
3,"отреагировали, украину, южной, поддержку, выразили",3,2023-03-21 00:00:00+00:00
4,"протестующих, протестующие, протесты, протестов, протесты против",16,2023-03-21 00:00:00+00:00
5,"доверие, доверия, большинство, россиян, работает",6,2023-03-21 00:00:00+00:00
6,"праздник, видео, говорит, появилось, период",1,2023-03-21 00:00:00+00:00
7,"оппозиции, выборах, выборы, выборов, президентских выборах",4,2023-03-21 00:00:00+00:00
8,"обороны, военных, вооруженных, армии, войска",7,2023-03-21 00:00:00+00:00
10,"военных, армия, майора, внутри страны, наших",1,2023-03-21 00:00:00+00:00
13,"санкции, санкции против, санкций, запрет, ввели",3,2023-03-21 00:00:00+00:00
15,"бразилии, обсудить, предлагает, предложил, хочет",7,2023-03-21 00:00:00+00:00
16,"крыму, одобрил, крым, вице премьер, транспорта",3,2023-03-21 00:00:00+00:00
19,"переговоров, покинули, переговорах, завершился, переговоры",2,2023-03-21 00:00:00+00:00
21,"отставке, подписал указ, указом, кремля, указ",13,2023-03-21 00:00:00+00:00
22,"экстремистов, терроризма, силовиков, интернет, теракта",7,2023-03-21 00:00:00+00:00
24,"крыму, крым, крыма, россию, отметили",3,2023-03-21 00:00:00+00:00
-1,"украину, нужно, обороны, конфликта, украинских",1257,2023-04-20 00:00:00+00:00
0,"кремля, кремль, беспилотников, украину, россию",1039,2023-04-20 00:00:00+00:00
1,"протестующих, вооруженные, происходит, боевиков, протестов",3,2023-04-20 00:00:00+00:00
2,"грузии, отреагировали, санкций, россию, россией",17,2023-04-20 00:00:00+00:00
3,"украину, украины, отношения, главы государства, оружие",10,2023-04-20 00:00:00+00:00
4,"протестов, протеста, протесты, отставку, отреагировали",5,2023-04-20 00:00:00+00:00
5,"доверие, доверия, процентов, оценка, неделю",10,2023-04-20 00:00:00+00:00
7,"турции, выборов, выборы, выборах, выборами",104,2023-04-20 00:00:00+00:00
13,"санкции против, санкции, санкций, список, российских",1,2023-04-20 00:00:00+00:00
15,"конфликта украине, бразилии, переговорах, переговоры, переговоров",1,2023-04-20 00:00:00+00:00
16,"крыму, крым, крыма, украинский, украинские",1,2023-04-20 00:00:00+00:00
21,"кремля, отставке, указом, подписал указ, указ",3,2023-04-20 00:00:00+00:00
22,"уголовное, задержали, уголовного, задержан, грозит",2,2023-04-20 00:00:00+00:00
24,"крыму, отменить, крым, крыма, совета",4,2023-04-20 00:00:00+00:00
25,"гражданство, российский, гражданина, российским, российского",1,2023-04-20 00:00:00+00:00
-1,"украину, украинских, обороны, военных, украинские",2026,2023-05-20 00:00:00+00:00
0,"россию, россией, украиной, российские, украинских",1289,2023-05-20 00:00:00+00:00
1,"протесты, протестующих, протестов, скандируют, митинги",5,2023-05-20 00:00:00+00:00
2,"грузии, россию, своих граждан, россией, против россии",10,2023-05-20 00:00:00+00:00
4,"протестующих, протеста, протестующие, франции, политиков",4,2023-05-20 00:00:00+00:00
5,"доверие, доверия, большинство, мнение, плохо",4,2023-05-20 00:00:00+00:00
7,"турции, выборов, выборах, выборы, президентские выборы",82,2023-05-20 00:00:00+00:00
9,"министра иностранных, иностранных дел, заместителя, назначен, назначил",1,2023-05-20 00:00:00+00:00
10,"военных, майора, армия, рассказать, оружие",2,2023-05-20 00:00:00+00:00
15,"бразилии, кремль, президентов, россию, саммите",9,2023-05-20 00:00:00+00:00
16,"премьер, поручил, правительства, комиссию, вице премьер",1,2023-05-20 00:00:00+00:00
19,"заседание, кремле, кремля, кремль, переговоров",1,2023-05-20 00:00:00+00:00
21,"отставке, кремля, указом, российской федерации, подписал указ",3,2023-05-20 00:00:00+00:00
22,"антироссийские, задержали, ненависти, протестующих, задержан",3,2023-05-20 00:00:00+00:00
24,"крыму, крым, крыма, украины, конституционный",1,2023-05-20 00:00:00+00:00
-1,"кремле, россию, конфликта, ситуация, главнокомандующего",2474,2023-06-19 00:00:00+00:00
0,"конфликта, ситуацию, войска, ситуация, военных",1548,2023-06-19 00:00:00+00:00
1,"вмешательства, вице, поддержку, вариант, помощь",10,2023-06-19 00:00:00+00:00
2,"грузии, россияне, россиян, российских, россией",1,2023-06-19 00:00:00+00:00
3,"украину, главы государства, украина, украины, президентского",4,2023-06-19 00:00:00+00:00
4,"беспорядки, беспорядков, протестов, протестующих, протестующие",15,2023-06-19 00:00:00+00:00
5,"доверия, веру, большинство, россиян, оценка",11,2023-06-19 00:00:00+00:00
7,"властей, турции, играет, шансы, случилось",2,2023-06-19 00:00:00+00:00
8,"вооруженных сил, дата, отмечается, великой отечественной, инициативе",2,2023-06-19 00:00:00+00:00
9,"интересный, политиков, 2020, лидер, факт",1,2023-06-19 00:00:00+00:00
10,"майора, военных, мнения, армия, верховному",2,2023-06-19 00:00:00+00:00
13,"санкции, санкций, санкции против, ввели, указ",1,2023-06-19 00:00:00+00:00
16,"крыму, крым, ожидается, планируется, крыма",39,2023-06-19 00:00:00+00:00
20,"состоится, ценности, русской, русские, отмечали",2,2023-06-19 00:00:00+00:00
21,"посла, посол, назначен, заместителя, назначил",2,2023-06-19 00:00:00+00:00
22,"уголовное, преступления, терроризма, ареста, уголовного",1,2023-06-19 00:00:00+00:00
29,"родился, день, известной, июля, герой",2,2023-06-19 00:00:00+00:00
30,"говорит, сообщают, украину, протеста, журналистов",5,2023-06-19 00:00:00+00:00
-1,"украину, украинских, украинские, обороны, россию",1378,2023-07-19 00:00:00+00:00
0,"россию, россией, украину, российские, украинских",1237,2023-07-19 00:00:00+00:00
1,"вооруженных, ситуация, переворота, переворот, митинги",172,2023-07-19 00:00:00+00:00
2,"грузии, осетии, выводы, российскими, силовики",4,2023-07-19 00:00:00+00:00
3,"ядерного оружия, борту, ракетами, идет, президентского",1,2023-07-19 00:00:00+00:00
4,"министр внутренних, внутренних дел, министра, поддержал, политиков",1,2023-07-19 00:00:00+00:00
5,"доверия, россиян, большинство, мнение, неделю",8,2023-07-19 00:00:00+00:00
8,"российской армии, военнослужащих, вооруженных сил, армии, войска",6,2023-07-19 00:00:00+00:00
10,"военных, верховному, майора, верховным, верховного",3,2023-07-19 00:00:00+00:00
15,"бразилии, высказался, говорят, говорит, обсуждать",4,2023-07-19 00:00:00+00:00
25,"гражданство, русский, российского, гражданами, русские",1,2023-07-19 00:00:00+00:00
26,"санкции, евросоюз, властей, страну, протесты",1,2023-07-19 00:00:00+00:00
29,"родился, день, состоялась, августа, основатель",1,2023-07-19 00:00:00+00:00
-1,"говорит, украину, военные, россию, украинские",1452,2023-08-18 00:00:00+00:00
0,"россию, россией, российские, переговоры, главное",1227,2023-08-18 00:00:00+00:00
1,"переворот, переворота, властей, власть, боевиков",72,2023-08-18 00:00:00+00:00
2,"грузии, партия, протеста, выборами, правящей",10,2023-08-18 00:00:00+00:00
3,"военные, ядерного оружия, минобороны, россией, военное",1,2023-08-18 00:00:00+00:00
4,"выборах, вероятность, выборов, франции, президентских выборах",3,2023-08-18 00:00:00+00:00
5,"доверия, мнение, властей, уверены, оценка",10,2023-08-18 00:00:00+00:00
7,"турции, туре, экономика, очередной, тур",1,2023-08-18 00:00:00+00:00
8,"вооруженных, танки, вооружённых, великой отечественной, войска",5,2023-08-18 00:00:00+00:00
13,"санкций, санкции, санкциями, санкции против, россию",4,2023-08-18 00:00:00+00:00
14,"осетии, ситуацией, высказался, переговоров, собираются",4,2023-08-18 00:00:00+00:00
15,"бразилии, саммите, обсудить, кремль, властям",9,2023-08-18 00:00:00+00:00
16,"сроки, крыму, восстановлению, крым, получилось",2,2023-08-18 00:00:00+00:00
19,"завершился, переговорах, переговоров, переговоры, покинули",10,2023-08-18 00:00:00+00:00
20,"россию, террористов, людям, говорит, мысли",2,2023-08-18 00:00:00+00:00
21,"отставке, указом, подписал указ, указ, указа",1,2023-08-18 00:00:00+00:00
22,"задержали, задержан, произошел, силовики, инцидент",3,2023-08-18 00:00:00+00:00
26,"властей, проблемой, проблем, кандидаты, сомнения",4,2023-08-18 00:00:00+00:00
29,"родился, день, состоялся, освобождение, открытии",6,2023-08-18 00:00:00+00:00
30,"убийства, властей, людьми, усиления, чиновников",1,2023-08-18 00:00:00+00:00
-1,"конфликта, россию, украину, говорит, военных",1566,2023-09-17 00:00:00+00:00
0,"россию, украину, россией, российские, конфликта",1126,2023-09-17 00:00:00+00:00
1,"переворот, происходит, переворота, власть, властями",37,2023-09-17 00:00:00+00:00
2,"грузии, конституционного, конституционный, конституции, переворота",6,2023-09-17 00:00:00+00:00
3,"ядерного, ядерного оружия, укреплению, парламенте, одобрил",2,2023-09-17 00:00:00+00:00
4,"обвинения, франции, беспорядки, журналистов, левых",2,2023-09-17 00:00:00+00:00
5,"доверия, большинство, политиков, мнение, оценка",11,2023-09-17 00:00:00+00:00
