trigger,guard,count,examples
prezident,country:Эстония,189,"[""Президент Эстонии Карис признал необходимость выстраивать дипотношения с Россией После окончания боевых действий на территории Украины Эстонии придется восстанавливать дипломати..."", ""Президент Эстонии Карис признал необходимость выстраивать дипотношения с Россией После окончания боевых действий на территории Украины Эстонии придется восстанавливать дипломати..."", ""🇪🇪 Президент Банка Эстонии пожаловался на постоянный дефицит государственного бюджета 📝 По словам Мадиса Мюллера, в следующем году расходы страны достигнут 18,5 млрд евро. При э..."", ""🇪🇪 Президент Эстонии заявил о необходимости «поставить Россию на колени» Эстония сделает все возможное для этого, заявил Алар Карис. 📝 «Тогда могут начаться серьезные переговоры..."", ""🇪🇪 Президент Эстонии заявил о необходимости «поставить Россию на колени» Эстония сделает все возможное для этого, заявил Алар Карис. 📝 «Тогда могут начаться серьезные переговоры..."", ""Эстония предоставит Украине долгосрочный пакет помощи на сумму в €1,2 млрд, — президент Эстонии Алар Карси на пресс-конференции с Зеленским Также он заявил, что Эстония выступае..."", ""🇪🇪🇺🇦 Президент Эстонии: \""Эстония против ограничений на удары по России оружием, которое дают Украине западные партнеры\"" Ну от проебалтов я другого и не ожидал, если честно. Эти ..."", ""Эстония выступает за то, чтобы разрешить ВСУ наносить удары по России западным оружием — президент Эстонии Алар Карси на пресс-конференции с Гнидой. По лезвию прошёлся.""]"
prezident,country:Таджикистан,174,"[""Президент Таджикистана продемонстрировал самый точный гол в истории мировой политики. Точным ударом президент Таджикистана Эмомали Рахмон забил гол на открытии местного манежа, ..."", ""Президент Таджикистана продемонстрировал самый точный гол в истории мировой политики. Точным ударом президент Таджикистана Эмомали Рахмон забил гол на открытии местного манежа, ..."", ""🔥 Еще один национальный лидер подтвердил визит в Москву 9 мая. Президент Палестины Махмуд Аббас примет участие в мероприятиях по случаю Дня Победы в Москве. Аббас стал уже как м..."", ""В наступлении террористических организаций на Алеппо - крупнейший город Сирийской Арабской Республики - активное участие принимают среднеазиатские \""добровольцы\"". Интернет-простр..."", ""🇷🇺 КТО ПОСЕТИТ ПАРАД ПОБЕДЫ 9 МАЯ 2025. Какие страны точно будут присутствовать на мероприятии, посвященном 80-й годовщине окончания Великой Отечественной войны. Полный список: ..."", ""Эмомали Рахмон – иноагент? В Душанбе стартовал саммит Россия - Центральная Азия. Уже завтра, 3 марта намечены расширенные переговоры делегаций Таджикистана и России. Чего можно ..."", ""О выступлении Эмомали Рахмона на саммите «Россия — Центральная Азия» 1. Эмомали Рахмон, президент Таджикистана и в соответствии с Конституцией РТ «Основатель мира и национальног..."", ""Президент Таджикистана Рахмон, сделал сегодня вполне разумную вещь. В Таджикистане призвано 20 000 резервистов и их отправят на таджико - афганскую границ. Понятно, что частично...""]"
putin,hashtag_only,171,"[""Об этом я говорил в одной из своей книг \""Коучинг война\"". Скачать бесплатно можно на нашем сайте, как я ряд других изданий. #путин #война @kyber_net"", ""#Путинвведивойска"", ""Сегодня в 21:00 по Москве 19:00 по Берлину #докторсосновский #стенасосновского #сосновский #габсбург #deutschland #trump #война #мерц #putin #зеленский #путин #трамп https://you..."", ""Утро в Гостином дворе. #Путин2024"", ""МОЛНИЯ ⚡️ Из Липецкой области пришло сообщение об остановке колоны Вагнера. Вероятно, начала действовать договоренность, достигнутая при посредничестве Александра Лукашенко #Ваг..."", ""Ситуация в Херсонской области на утро 09.11.2022. По всем направлениям Херсонской области, укровермахт попытался просочится, но был отбит нашими войсками. На Снегиревском направ..."", ""В Херсоне был задержан стрелок из гранатомёта по отделу полиции. Подозреваемый в нападении на Днепровское РОВД города Херсона задержан. Мужчина признался, что готовил нападение ..."", ""Кому мы сегодня противостоим на Херсонском направлении. Никому уже не секрет, что практически весь «цивилизованный» мир - это нынешний 4-й рейх уже открыто воюет против России. ...""]"
prezident,country:Куба,156,"[""Президент Кубы Мигель Диас-Канель объявил в стране двухдневный национальный траур по 32 кубинцам, погибшим во время атаки США на Венесуэлу., следует из опубликованного президент..."", ""🔥 Президент Кубы заявил о готовности умереть за революцию в случае вторжения США. Мигель Диас-Канель в интервью NBC News заявил, что не боится угроз Дональда Трампа. Куба не хоч..."", ""🔥 «Возможно, мы осуществим дружественный захват Кубы». Об этом прессе заявил Дональд Трамп, отметив, что у латиноамериканской страны «нет денег», а потому американская оккупация..."", ""Трампу понравилась идея, чтобы Рубио стал президентом Кубы. «По мне, отличная идея», — написал глава США. Ранее Рубио заявил, что Куба — это катастрофа, «ею управляют некомпетен..."", ""Президент Кубы объявил траур в связи с гибелью 32 сограждан при защите Мадуро Президент Кубы Мигель Марио Диас-Канель Бермудес объявил в стране двухдневный траур в связи с гибел..."", ""Президент Кубы объявил траур в связи с гибелью 32 сограждан при защите Мадуро Президент Кубы Мигель Марио Диас-Канель Бермудес объявил в стране двухдневный траур в связи с гибел..."", ""Куба готова защищать Венесуэлу любой ценой. Президент Кубы Мигель Диас-Канель заявил, что его страна не оставит Венесуэлу в беде. Он охарактеризовал события в стране как акт гос..."", ""⚡️Президент Колумбии Густаво Петро опубликовал список объектов, атакованных Соединёнными Штатами: ▪️Аэродром Ла-Карлота; ▪️Горный военный гарнизон в Катиа-ла-Мар; ▪️Федеральный ...""]"
prezident,country:Словакия,153,"[""🔥 Президент Словакии лично запретил наемникам вступать в ряды ВСУ. Петер Пеллегрини не разрешил двум любителям приключений присоединиться к украинской армии, еще один гражданин ..."", ""🇸🇰 Проукраинский школьник не пожал руку президенту Словакии На награждение победителей олимпиад ученик пришел с желто-синей лентой и вел себя вызывающе – закатывал глаза и демон..."", ""🇸🇮 Первый из 14 новых истребителей F-16 из США приземлился в Словакии Президент Петер Пеллегрини приветствовал прибытие F-16 на авиабазу Кучина в западной Словакии, заявив, что ..."", ""К власти в одной из стран ЕС пришёл президент-русофил В Словакии оглашены результаты президентских выборов. Победу одержал Петер Пеллегрини, который набрал больше 54%. На данный..."", ""Президент Словакии Зузана Чапутова выступила против передачи Украине нового пакета военной помощи из-за победы на парламентских выборах партии Роберта Фицо, передает портал Denn..."", ""Бесполетная зона над Украиной сделала бы НАТО стороной конфликта – президент Словакии"", ""Киеву придётся развеять фантазии о возвращении территорий — президент Словакии Если вы говорите о мире, я думаю, что нужно быть реалистом, уже сегодня, наверное, никто в Европе ..."", ""✔️Вашингтонский обком находится в активном поиске нового генсека НАТО и продолжает соответствующие смотрины. Кого уже только не собеседовали на место, которое пока что греет Сто...""]"
prezident,country:Боливия,127,"[""2013 год, Австрия принудительно сажает самолёт президента Боливии Моралеса и досматривает на предмет наличия на борту беглого сотрудника АНБ Эдварда Сноудена. Весь цивилизованны..."", ""🇧🇴 Автомобиль, в котором находился бывший президент Боливии Эво Моралес был обстрелян на блокпосту После того, как машина не остановилась на требование полиции по ней был открыт..."", ""Арестована бывший временный президент Боливии Хеанин Аньес. Вместе с ней за решётку отправлены бывший министр энергетики Родриго Гусман и бывший министр юстиции Альваро Коимбра...."", ""‍9 октября1967 года в помещении школы в боливийской деревне Ла Игера был казнен Товарищ Че, он же Эрнесто Гевара де ла Серна — славный сын аргентинского народа, команданте Кубин..."", ""❗️Эксклюзив Президент Боливии Луис Арсе намекнул RT, что страна получила статус партнёра БРИКС. По его словам, теперь государство должно «укрепить свои позиции» в объединении. А..."", ""парочка примеров: в 2010-м иранские спецслужбы захватили одного из лидеров белуджских боевиков, который летел из ОАЭ в Киргизию над территорией Ирана в 2013-м в Австрии посадили..."", ""Задержание Протасевича, или «а нас-то за что?» по-европейски На Западе Лукашенко грозят всеми небесными карами, если он немедленно не выпустит на свободу основателя оппозиционно..."", ""Не, ну самый мощный авиационный терроризм - это была принудительная посадка президента Боливии Эво Моралеса в Австрии и шмон в президентском самолете, так как США решили, что на...""]"
prezident,country:Эквадор,119,"[""В Эквадоре захватили телеканал TC Televisora в Гуаякиле во время прямого эфира Президент Эквадора сообщил, что ввел в стране режим «внутреннего вооруженного конфликта» ▪️Третье ..."", ""Президент Эквадора Даниель Нобоа вступил в должность под русский саундтрек. На инаугурации самого молодого сейчас в мире главы государства оркестр играл \""День Победы\"" Давида Фёд..."", ""Кандидата в президенты Эквадора убили на предвыборном митинге Кандидат в президенты страны Фернандо Вильявисенсио выступал на митинге в колледже города Кито. Когда политик завер..."", ""Кандидат в президенты Эквадора Фернандо Вильявисенсио убит на предвыборном мероприятии, сообщила газета El Universo."", ""⚡️Эквадор отменяет своё решение о поставке советской военной техники в США для передачи Украине ▪️Об этом сообщил посол РФ по итогам встречи с президентом Эквадора. ▪️Ранее Эква..."", ""❗Джулиана Ассанжа задержали в Лондоне. Прямо перед этим посольство Эквадора отказало ему в политическом убежище. Такой указ издал президент Эквадора Ленин Морено. @SIL0VIKI"", ""🖥️ Протестующие напали на кортеж президента Эквадора Даниэля Нобоа, когда он направлялся на мероприятие в провинции Каньяр. Как сообщила пресс-служба администрации главы государ..."", ""❗️Арестованный чиновник, бывший вице-президент Эквадора Хорхе Глас из команды бывшего президента Эквадора Рафаэля Корреа, команда которого до сих пор частично находится у власти...""]"
prezident,country:Китай,117,"[""NYT: Трамп хочет заключить масштабную сделку с Россией и Китаем Президент США Дональд Трамп планирует заключить сделку с Россией и Китаем, которая может изменить баланс сил межд..."", ""Асад должен уйти 😂 Так Китай встречает президента Сирии с женой"", ""Белый дом отменил публикацию заявления, в котором Россия обвиняется в масштабной кибератаке. Сотрудники были готовы выложить официальные обвинения в адрес России, но в последний..."", ""Ударяет ли атака США и Израиля по России? Нет, пока ещё нет Формально, операция США и Израиля против Ирана не направлена против России и Китая. Ни президент Трамп, ни его советн..."", ""❗️ Дональд Трамп считает, что многие из союзников США не являются друзьями Вашингтона. Некоторые из них извлекали от торговли с Соединёнными Штатами \""больше выгоды, чем это дела..."", ""🖥️ Дональд Трамп заявил что США и Китай уже договорились о многом, и прямо сейчас договорятся о еще большем: «Для меня большая честь находиться здесь с моим другом, уже очень да..."", ""КНР разрывает контакты с президентом Чехии Петром Павелом из-за его встречи с Далай-ламой XIV, которая нанесла ущерб суверенитету Китая, заявил официальный представитель МИД КНР..."", ""Трамп заявил, что договорился о выгодной сделки с Китаем. США теперь ждут финального одобрения на уровне лидеров двух стран. «Наша сделка с Китаем завершена, осталось только око...""]"
prezident,country:Тайвань,108,"[""🇨🇳🇹🇼 Китай стянул в Тайвань рекордное за год количество военных кораблей: КНР начала маневры \""со всех сторон\"", задействовав армию, флот, авиацию и ракетные силы, - The Guardian ..."", ""Президент Тайваня посоветовал Китаю вернуть «исторические земли на территории России» По его словам, если претензии Китая на Тайвань касаются территориальной целостности, он так..."", ""Делегация конгресса США прибыла на Тайвань спустя несколько дней после того, как Китай начал военные учения вблизи острова, сообщает Sky News. Конгрессменов возглавляет председа..."", ""Николай Вавилов, публицист-китаевед, автор книги «Китайская власть», автор Telegram-канала @shuohuaxia Как Пекин отреагирует на тайваньского Лая? На выборах президента Тайваня з..."", ""✔️Вне зависимости от отношений Китая с Россией, для Вашингтона Пекин был и есть враг номер 1, особенно в условиях стремления многих стран к независимости от долларового рабства...."", ""✔️Вне зависимости от отношений Китая с Россией, для Вашингтона Пекин был и есть враг номер 1, особенно в условиях стремления многих стран к независимости от долларового рабства...."", ""Reuters: Тайваньский вопрос стал ключевой темой разговора Си Цзиньпина и Трампа Министерство иностранных дел КНР опубликовало свою версию телефонного разговора председателя КНР ..."", ""📹На Тайване прошла инаугурация, Лай Циндэ вступил в должность президента Тайваня Он сменил на этом посту Цай Ин-вэнь, которая восемь лет руководила островом, а Лай был в это вре...""]"
prezident,country:Венгрия,106,"[""\""Россия победила в конфликте на украине, вопрос закрыт\"". Так сказал премьер Венгрии Орбан президенту США Трампу, который интересовался его мнением по этому вопросу «Россия гаран..."", ""Президент Венгрии Каталин Новак подала в отставку — Reuters"", ""Ватикан или глобальный Юг? Кто заставит Зеленского подписать капитуляцию В процессе мирного урегулирования конфликта на Украине скоро будут изменения, ключевую роль в этом может..."", ""🖥️ Обстановка в Венгрии, где празднует победу оппозиционный кандидат Петер Мадьяр, выигравший парламентские выборы Петер Мадьяр нанёс визит президенту Венгрии Тамашу Шуйоку, кот..."", ""Мадьяр призвал всех государственных руководителей Венгрии, включая президента Шуйока, уйти в отставку. 🇷🇺 Подпишись на Соловьёва!"", ""🖥 «Венгров нельзя шантажировать, а меня вы не можете запугать» — Виктор Орбан ответил на личные угрозы со стороны Зеленского. «Господин президент, я получил ваше сообщение. Вы у..."", ""Дональд Трамп в Truth Social опубликовал пост в поддержку премьер-министра Венгрии Виктора Орбана: «Глубокоуважаемый премьер-министр Венгрии Виктор Орбан — по-настоящему сильный..."", ""🤡 Киевский клоун Зеленский, пребывая явно «навеселе», решил всех насмешить и съязвил насчет ударов Украины по нефтепроводу «Дружба». «Мы всегда поддерживали дружбу между Украино...""]"
prezident,country:Болгария,101,"[""Зрада: Мы писали, что Болгария, наши братушки, собрались передать старые бронетранспортеры Украине. И вот новое подоспело: Президент Болгарии наложил вето на бесплатную передачу..."", ""Президент Болгарии Румен Радев объявил о своей отставке. Новая жертва рукопожатия Зеленского."", ""✔️Перед выходными Зеленского пустили по кругу. Зеля прыгал по членам – членам НАТО. Проще говоря, киевский клоун обивал пороги «спонсоров» в Болгарии, Чехии, Словакии и Турции. ..."", ""Президент Болгарии Румен Радев говорит об «экономическом самоуничтожении Европы» как о вероятном следствии затягивания украинского кризиса. Можно полагать, что не менее, если не..."", ""Президент Болгарии Румен Радев объявил о своей отставке. 🇷🇺 Подпишись на Соловьёва!"", ""Президент Болгарии Румен Радев сравнил разрешение на использование американских ракет для ударов по России с \""опасной игрой с огнем\"": \""Любая эскалация — опасная игра с огнем в т..."", ""⚡️⚡️⚡️⚡️ Президент Болгарии наложил вето на предоставление Украине партии из 100 подержанных БТР. Техника была произведена около 40 лет назад и хранилась на складах болгарского ..."", ""✔️Перед выходными Зеленского пустили по кругу. Зеля прыгал по членам – членам НАТО. Проще говоря, киевский клоун обивал пороги «спонсоров» в Болгарии, Чехии, Словакии и Турции. ...""]"
prezident,country:Гаити,96,"[""Гаити требует репараций от Франции. Об этом заявил председатель переходного президентского совета Гаити Эдгар Леблан Фильс во время выступления в ООН. По его словам, страна была..."", ""Стаканы для слабаков: Глава Переходного президентского совета Гаити Эдгард Леблан Филс и глоток воды на трибуне Генассамблеи ООН."", ""😂Стаканы для слабаков: Глава Переходного президентского совета Гаити Эдгард Леблан Филс и глоток воды на трибуне Генассамблеи ООН."", ""В конце прошлого года главной сенсацией стало расследование Underside о попытках британского правительства через прикормленных фунтами стерлингов НКО-иноагентов вмешиваться во в..."", ""✔️По официальной версии убийство Жовенеля Моиза организовал проживающий в США предприниматель-гаитянин, нанявший для этого венесуэльскую ЧВК, базирующиюся в Штатах и укомплектов..."", ""✔️По официальной версии убийство Жовенеля Моиза организовал проживающий в США предприниматель-гаитянин, нанявший для этого венесуэльскую ЧВК, базирующиюся в Штатах и укомплектов..."", ""Ну и где? Где санкции, заявления «семерки», истерика американских правозащитников? А повод более чем ужасающий. На Гаити вылетела межведомственная делегация США. Цель - разобрат..."", ""ПРЕДСТАВИТЕЛЬ МИД РОССИИ МАРИЯ ЗАХАРОВА: АМЕРИКАНСКИЕ ЧВК ИМЕЮТ ОТНОШЕНИЕ К УБИЙСТВУ ПРЕЗИДЕНТА ГАИТИ. Только недавно перечитывал Форсайта и пересматривал кое-что на эту же тему...""]"
prezident,country:Европейский союз,95,"[""Женские ММА официально признали спортом в России Смешанные единоборства с участием женщин теперь официальный вид спорта в России. Долгожданную для девушек-бойцов новость озвучил..."", ""🇨🇳Китай отвернулся от российского зерна по политическим причинам — The Economist ⚡️ Российский зерновой союз раскрыл неприятную правду. КНР намеренно отказывается от закупок рос..."", ""Ветеран «Альфы» рассказал, как защитить границу России от диверсантов Приграничные районы РФ следует укрепить надежной линией обороны, заявил NEWS.ru президент Союза «Офицеры гр..."", ""👔 В новогоднем обращении к украинцам Зеленский забредил о Европе \""от Лиссабона до Луганска\"" в контексте начала переговоров Киева с ЕС о вступлении в союз. 🫵 Отбитый президент пр..."", ""В Госдуме призвали наградить экипаж севшего в поле самолета Экипажу самолета, совершившего экстренную посадку в поле в Новосибирской области, надо дать звание «Героев России», з..."", ""«РУССКОЕ - ЭТО КРАСИВО» Культурно-просветительский проект о живой традиции русской эстетики МОСКОВСКИЙ ДОМ НАЦИОНАЛЬНОСТЕЙ ул. Новая Басманная, д.4 18 ноября 2025 г. С 12-00 до ..."", ""🇺🇦Смертность на Украине втрое превышает рождаемость ➖Об этом заявил президент Украинского союза промышленников и предпринимателей Анатолий Кинах. ➖По официальным данным, в 2024 ..."", ""«РУССКОЕ - ЭТО КРАСИВО» Культурно-просветительский проект о живой традиции русской эстетики МОСКОВСКИЙ ДОМ НАЦИОНАЛЬНОСТЕЙ ул. Новая Басманная, д.4 18 ноября 2025 г. С 12-00 до ...""]"
prezident,country:Индонезия,82,"[""🔥 Еще один национальный лидер подтвердил визит в Москву 9 мая. Президент Палестины Махмуд Аббас примет участие в мероприятиях по случаю Дня Победы в Москве. Аббас стал уже как м..."", ""🖥️ Дональд Трамп о плане по урегулированию конфликта в секторе Газа: «В этом процессе задействовано много людей. Я также хочу поблагодарить премьер-министра Нетаньяху за согласи..."", ""ЕС заключил соглашение с Индонезией об укреплении торговых связей, передает Politico. Как пишет газета, Европейский союз и Индонезия «достигли политического соглашения о продвиж..."", ""🖥️ Президент Индонезии поблагодарил Россию за быстрое вступление в БРИКС. И сказал, что это объединение принесёт процветание миру. «Говоря о нашем участии в БРИКС — мы благодари..."", ""❗️ Избранный президент Индонезии не сможет посетить саммит БРИКС, но направит туда специального посланника, заявили в МИД страны."", ""‼️‼️‼️ Аэрофлот может совершать прямые рейсы на Бали. Избранный президент Индонезии Прабово Субианто"", ""📹Министр обороны РФ Андрей Белоусов провел переговоры с министром обороны Индонезии, избранным Президентом страны Прабово Субианто В ходе встречи состоялось обсуждение текущего ..."", ""❗️Заявления Дмитрия Пескова: ▪️Россия остается открытой к переговорам вокруг Украины; ▪️РФ решительно осуждает атаку Израиля, приведшую к гибели главы политбюро ХАМАС; ▪️Атака И...""]"
prezident,country:Нигер,82,"[""Захватившие власть в Нигере мятежники денонсируют военные соглашения с Францией Военные, захватившие власть в Нигере, объявили о денонсации военных соглашений с Францией, сообща..."", ""Свергнутый президент Нигера Мохамед Базум обратился к США и мировому сообществу с просьбой помочь восстановить конституционный порядок в стране."", ""🔥 Макрон признает потерю Нигера. Франция теряет позиции на континенте и все чаще вынуждена действовать через прокси, в том числе связанные с радикальными группировками. Раньше в..."", ""В Нигере успешно завершился военный переворот. Свергнут очередной про-французский президент Мохамед Базума. Сообщение о захвате власти зачитал полковник Амаду Абдраман, который ..."", ""❗️Свергнутый президент Нигера, который находится под стражей, заразился малярией — экс-глава МИД страны."", ""Заявления Макрона о БРИКС и ситуации в Нигере: 📌Франция готова поддержать военные действия ЭКОВАС в Нигере. 📌«Мы продолжим оказывать поддержку президенту Базуму». Макрон уточнил..."", ""❗️Госсекретарь США Энтони Блинкен провел телефонный разговор с отстраненным от власти мятежниками президентом Нигера Мохамедом Базумом и выразил приверженность мирному урегулиро..."", ""Заявления представителя стран Африки: 📌Украинский кризис оказывает серьёзное влияние на ситуацию, разрешение ситуации поможет спасти наш континент. 📌Требуем освобождения президе...""]"
prezident,country:Швейцария,77,"[""🔥 В Швейцарии пришли в восторг от речи Вэнса на Мюнхенской конференции. Политики в Берне отказались следовать по стопам коллег из Евросоюза и критиковать слова вице-президента С..."", ""Президент Швейцарии Виола Амхерд, открывая саммит, заявила, что \""мирный процесс без России немыслим\"" Россия также должна быть участвовать в подобном саммите — представитель ОАЭ ..."", ""🌐 ВРАЖЕСКИЕ ГОЛОСА: УТРЕННИЙ ОБЗОР 🇬🇧 «The Guardian»: «в Литве обещает усилить оборону от России» «Оппозиционная социал-демократическая партия Литвы пообещала потратить «столько..."", ""ИНОСМИ: ЧУЖИЕ ГОЛОСА 🇺🇸 «The New York Times»: «ладно, пойдём другим путём» «Двухдневная конференция в Швейцарии является демонстрацией поддержки лишь некоторых пунктов из тех, ч..."", ""ИНОСМИ: ЧУЖИЕ ГОЛОСА 🇺🇸 «The New York Times»: «ладно, пойдём другим путём» «Двухдневная конференция в Швейцарии является демонстрацией поддержки лишь некоторых пунктов из тех, ч..."", ""👉 Список лидеров, министров иностранных дел государств, преимущественно стран Запада, а также руководителей международных организаций, посетивших Бучу. То самое место, где была ..."", ""🖥️ «Правда пророссийская! Вот в чем проблема!» : Скотт Риттер, экс-офицер разведки США, о крахе киевского режима и судьбе Украины стать частью Союзного государства. «Недавно рос..."", ""❗️ Премьер-министр Сингапура стал самым высокооплачиваемым мировым лидером, сообщил Forbes. По сведениям журнала, Лоуренс Вонг зарабатывает около $1,69 миллионов в год. На второ...""]"
prezident,country:Ливия,76,"[""Историческая речь президента Ливии Муаммара Каддафи в 2005 году: «НАТО расширяется в сторону России, чтобы добраться до газа, нефти, угля и железа, принадлежащих России, чтобы о..."", ""ЛИВИЯ | КОНФЕРЕНЦИЯ Коммюнике Берлинской конференции по Ливии содержит призыв к СБ ООН налагать санкции на всех нарушителей оружейного эмбарго. Коммюнике Берлинского саммита при..."", ""ЛИВИЯ | ТУРЦИЯ | США ЭРДОГАН И ТРАМП ОБСУДИЛИ ПО ТЕЛЕФОНУ СИТУАЦИЮ В ЛИВИИ АДМИНИСТРАЦИЯ ПРЕЗИДЕНТА ТУРЦИИ"", ""🇱🇾В Ливии вспыхнула гражданская война: силы Мисраты и Триполи вступили в столкновение, — СМИ. В столице разразились интенсивные перестрелки, на улицах можно увидеть военную техн..."", ""О, а вот и разгадка ливийского кипиша подоспела. Читаем у РИА Новости: Глава службы безопасности при Президентском совете Ливии Абдель Гани аль-Кикли убит в Триполи, в ряде райо..."", ""Останки Муаммара Каддафи и его сына будут переданы его родному племени для нормального захоронения. 10 лет назад, после убийства Каддафи, его останки были вывезены и якобы захор..."", ""Количество локальных конфликтов, приходящихся на нынешний XXI век, исчисляется десятками по всей планете. Один из самых кровопролитных очагов - Ливия. «День гнева», когда в Ливи..."", ""❗️В ходе беседы стороны обсудили \""текущие контртеррористические усилия и необходимость достижения мира и стабильности в Ливии. Президент признал важную роль фельдмаршала Хафтара...""]"
prezident,country:Италия,67,"[""7 декабря 2024 года в Ливорно состоялась официальная церемония ввода в состав военно-морских сил Италии универсального десантного корабля L 9890 Trieste, ставшего крупнейшим бое..."", ""🇺🇸🇮🇳 CША станут ведущим поставщиком нефти и газа в Индию Об этом заявил Трамп на совместной пресс-конференции с Моди. По его словам, Вашингтон и Нью-Дели договорились работать н..."", ""👔 Байден странным образом поприветствовал папу Римского На саммите G7 в Италии президент США, подойдя к понтифику, наклонился к нему и прислонился к его лбу своим. Франциск опеш..."", ""Лицо итальянского переводчика, когда Трамп назвал президента Италии Моцареллой вместо Маттареллы и заявил, что США и Италия - союзники со времен Древнего Рима."", ""Дональд Трамп заявил, что сегодня прошли хорошие переговоры между Россией и Украиной, но Вашингтон продолжит вооружать Украину до достижения мирного соглашения, в том числе чере..."", ""❗️ Президент Италии Серджо Маттарелла объявил XXV зимние Олимпийские игры открытыми."", ""📺 «Воскресный вечер с Владимиром Соловьевым». Поговорили о ситуации вокруг кощунственных заявлений президента Италии, уравнявшего Россию с Третьим рейхом, нашей реакции и послед..."", ""Наш вчерашний комментарий из брифинга о немыслимой речи президента Италии Серджо Маттареллы, в которой он сравнил Россию с Третьим рейхом, попал в цель: местных русофобов «разор...""]"
