country,count,post_text_examples
Румыния,317,"[""Учение ВМС Украины по высадке десанта на необорудованное побережье с трёх быстроходных десантно-штурмовых катеров типа «Uisko 300» (Watercat M11 подсерии U300) переданных в этом..."", ""\""Позор! Предатель! Уезжай на Украину!\"": такими криками встретили президента Румынии в городе Яссы. Толпа освистала Никушора Дана за поддержку киевского режима, когда тот подъеха..."", ""Президент Румынии растерялся перед караулом и завис — Никушор Дан буквально не знал куда себя деть и в итоге начал оглядываться по сторонам в поиске указаний, что делать дальше...."", ""Президент Румынии Никушор Дан созовет в четверг заседание Высшего совета обороны, на котором обсудят процедуру сбивания чужих дронов. Ранее ВВС Румынии перехватили беспилотник в..."", ""🔥 Вучич заявил, что не предал Россию своим визитом на Украину. Что и кого я предал? Россию? Чем? Тем, что приехал на саммит? Так я уже в четвертый раз на саммите Юго-Восточной Е..."", ""Новый президент Румынии проигнорировал Патриарха Даниила на своей инаугурации Первым он поздоровался с раввином, затем с католическим кардиналом, а вот с православным патриархом..."", ""Избранный президент Румынии Никушор Дан высказался против отправки румынских войск на Украину — Politico ➖«Иметь большую оперативную поддержку на территории Румынии — да. Быть ч..."", ""Оппозиционер Симион признал поражение на выборах президента Румынии и поздравил Дана Вначале он призывал к выходу на улицы в случае своего поражения, теперь признал его. Может и..."", ""🇪🇺 Чехия, Словения и Румыния возмутились тем, что их не пригласили в Париж на экстренный саммит ЕС В чешском правительстве заявили Le Monde, что ни в одной европейской стране не..."", ""Победивший в первом туре и отмененный кандидат в президенты Румынии Калин Джеорджеску: [Вы хотите сказать, что одной из причин, по которой румынское государство отменило ваши ре...""]"
Египет,300,"[""Президент Египта поздравил Путина с переизбранием, отметив его большой личный вклад в укрепление дружественных отношений между странами, сообщает Кремль Данилов теперь присматри..."", ""Джо Байден попытался ворваться в повестку дня и перебить эфир. Комментируя критику своих мыслительных способностей, он заявил: его память в порядке. И тут же назвал президента Е..."", ""Самоходка поблагодарила за работу по доставке гумпомощи в сектор Газа не президента Египта, а палестинцев 🤷🏻‍♂️🤦🏻‍♂️ Подписаться - АдекВатные новости"", ""Путин только что разговаривал с Карлсоном в течение двух часов об истории России, войне на Украине и крупных геополитических сдвигах. Всё без единой бумажки. Байден только что п..."", ""⚡️Палестина–Израиль: что известно на 23:00 по мск⚡️ — По одной из больниц Газы был нанесен удар. Число погибших, по разным данным, более 500 человек. — Официальная версия, выдви..."", ""Мир отреагировал на бесчеловечный удар Израиля по больнице в Газе: главное 🔻Лидер Палестины Махмуд Аббас отказался от участия во встрече с Байденом, королем Иордании Абдаллой Вт..."", ""Путин и президент Египта дали старт строительству четвертого энергоблока АЭС \""Эль-Дабаа\""."", ""Директор Службы внешней разведки России Сергей Нарышкин встретился с президентом Египта Абделем Фаттахом ас-Сиси"", ""🌐 ИНОСМИ: УТРЕННИЙ ОБЗОР 🇺🇸 «Bloomberg»: «не те друзья» в Африке… «Владимир Путин выступил в защиту выхода России из сделки по черноморскому зерну на саммите с лидерами африканс..."", ""Бывший президент Египта Хосни Мубарак умер в Каире в возрасте 91 года — ГосТВ""]"
Киргизия,278,"[""Лидеры стран – участниц Содружества Независимых Государств собираются в Эрмитаже на неформальный саммит. Владимир Путин рассказывает коллегам об Эрмитаже. Вместе с Президентом Р..."", ""От итогов выборов президента США будет зависеть внешняя политика ЕС, в том числе в отношении Украины. Об этом заявил Виктор Орбан на встрече с президентом Киргизии: «Во всех кру..."", ""🌍 Президент Киргизии заявил, что не потерпит указов Запада Западные страны не должны вмешиваться в отношения Бишкека с Москвой и СНГ. Об этом заявил президент Киргизии Садыр Жап..."", ""🇷🇺 КТО ПОСЕТИТ ПАРАД ПОБЕДЫ 9 МАЯ 2025. Какие страны точно будут присутствовать на мероприятии, посвященном 80-й годовщине окончания Великой Отечественной войны. Полный список: ..."", ""Жапаров обсудил с Путиным, Токаевым и Пашиняном ввод сил ОДКБ в Казахстан: «Минувшей ночью президент Киргизии Садыр Жапаров провел ряд телефонных разговоров с лидерами стран-чле..."", ""Беспорядки в Киргизии. Главное к утру: — во время акций протеста в Киргизии пострадали 590 человек, один погиб; — в здании парламента произошёл пожар. Ночью здание захватили уча..."", ""После возвращения из Москвы президент Киргизии Сооронбай Жээнбеков, члены правительственной делегации и сопровождавшие их лица сдали повторный тест на коронавирус. Результаты ан..."", ""Президент Киргизии Сооронбай Жээнбеков по приглашению российской стороны приедет в Москву на парад в честь 75-летия Победы в Великой Отечественной войне, намеченный на 24 июня."", ""Бывшему президенту Киргизии Алмазбеку Атамбаеву предъявлено обвинение в коррупции, сообщил ТАСС его адвокат Сергей Слесарев. «По решению суда Атамбаев арестован до 26 августа. С..."", ""📺📺 Президент России подробно прокомментировал ограничения интернета в связи с требованиями безопасности. Другие новости прошедшего дня: 🟥Совет ЕС принял 20-й пакет санкций проти...""]"
Узбекистан,267,"[""Лидеры стран – участниц Содружества Независимых Государств собираются в Эрмитаже на неформальный саммит. Владимир Путин рассказывает коллегам об Эрмитаже. Вместе с Президентом Р..."", ""Власти Узбекистана оплатили депортацию собственных мигрантов из США Чтобы задобрить Трампа, Узбекистан полностью профинансировал депортацию своих граждан, а также граждан Киргиз..."", ""Президент Казахстана Токаев и президент Кыргызстана прибыли в Кремль для встречи с Путиным Также в Кремль прибыли Лукашенко, президент Туркменистана Бердымухамедов и президент У..."", ""Владимир Путин в день своего рождения прокатил президентов Узбекистана и Казахстана на внедорожнике «Аурус». Президент РФ вместе с Мирзиёевым и Токаевым запустил поставки газа и..."", ""🇷🇺 КТО ПОСЕТИТ ПАРАД ПОБЕДЫ 9 МАЯ 2025. Какие страны точно будут присутствовать на мероприятии, посвященном 80-й годовщине окончания Великой Отечественной войны. Полный список: ..."", ""‘Я еще раз посмотрел мощь России’ – президент Узбекистана Мирзиёев о Параде Победы."", ""Президент Узбекистана Шавкат Мирзиеев и секретарь Совбеза России Николай Патрушев на встрече в Ташкенте обсудили вопросы двустороннего сотрудничества и безопасности. \""Обсуждены ..."", ""Власти Узбекистана опровергли запрет на ношение георгиевских лент. Ленты с флагами Узбекистана не исключают возможность ношения георгиевских лент, запрета на ношение этого симво..."", ""​ОХ КАК БЫСТРО! ТАШКЕНТ ПОСЛАЛ ВАШИНГТОН В ДАЛЬНЮЮ ДОРОГУ. ТО ЕСТЬ, ВОЕННЫХ США В УЗБЕКИСТАНЕ НЕ ЖДУТ. Надеюсь, так же ответят в Душанбе. Особенно после вчерашнего совместного п..."", ""📺📺 Подразделения группировки войск «Север» освободили Песчаное в Харьковской области. И другие новости: 🟥Первые спутники целевой группировки связи БЮРО 1440 — на орбите; 🟥Госдум...""]"
Армения,261,"[""🇦🇿🇺🇸🇦🇲Трамп примет президентов Армении и Азербайджана в Белом доме — СМИ Президент США Дональд Трамп в пятницу примет в Белом доме премьер-министра Армении Никола Пашиняна и пре..."", ""🇪🇺✖️ ЕС вторгается в географическое подбрюшье России Евросоюз расширяет влияние в Центральной Азии и Южном Кавказе. На саммите «ЕС – Центральные Азиатские Республики» в Самаркан..."", ""Крым на самом деле на 70% армянский, и Армения имеет право забрать его себе, вместе с Армавиром и Сочи, — экс-помощник главного советника президента Армении по национальной безо..."", ""Эпоха геополитических мостов На этой неделе в один и тот же день мы стали свидетелями двух важных мирополитических событий, произошедших в Вашингтоне. Премьер-министр Армении Ни..."", ""Об экономических причинах «смелости» стран бывшего СССР в отношении России Одним из главных двигателей экономики становится встраивание логистической инфраструктуры небольших в ..."", ""Разве удивительно, что президент США Дж.Байден назвал массовое истребление армян 1915-1923 гг. в Турции геноцидом? Напомним, что дядюшка Джо в очень близких отношениях с нынешни..."", ""В интервью РБК президент Армении Армен Саркисян подчеркнул, что ему часто навешивают ярлык Джеймса Бонда. Поводом к этому, судя по всему, выступает его работа в Великобритании. ..."", ""Протестующие в Ереване оценили решение президента Армении об отказе подписать указ об увольнении руководителя Генштаба ВС, назвав это победой. Глава республики Армен Саркисян, н..."", ""Военный конфликт в Нагорном Карабахе. Главное к утру: — потери армянской стороны в Карабахе за сутки составили 23 человека, сообщили в Ереване. В МО НКР заявили, что число погиб..."", ""Военный конфликт в Нагорном Карабахе. Главное к этому часу: — при обстреле с армянской стороны ранены шесть мирных жителей Азербайджана: жители Тертерского, Дашкесанского, Физул...""]"
Таджикистан,251,"[""Лидеры стран – участниц Содружества Независимых Государств собираются в Эрмитаже на неформальный саммит. Владимир Путин рассказывает коллегам об Эрмитаже. Вместе с Президентом Р..."", ""Президент Таджикистана продемонстрировал самый точный гол в истории мировой политики. Точным ударом президент Таджикистана Эмомали Рахмон забил гол на открытии местного манежа, ..."", ""🔥 Еще один национальный лидер подтвердил визит в Москву 9 мая. Президент Палестины Махмуд Аббас примет участие в мероприятиях по случаю Дня Победы в Москве. Аббас стал уже как м..."", ""🇹🇷 Президент двух стульев Турции Эрдоган прибыл на саммит БРИКС в Казань, где проведет переговоры с Путиным. 🇺🇿В Казань прибыл Президент Республики Узбекистан Шавкат Мирзиеев 🇧🇾..."", ""В наступлении террористических организаций на Алеппо - крупнейший город Сирийской Арабской Республики - активное участие принимают среднеазиатские \""добровольцы\"". Интернет-простр..."", ""🇷🇺 КТО ПОСЕТИТ ПАРАД ПОБЕДЫ 9 МАЯ 2025. Какие страны точно будут присутствовать на мероприятии, посвященном 80-й годовщине окончания Великой Отечественной войны. Полный список: ..."", ""Президент России Владимир Путин поздравил президента Таджикистана Эмомали Рахмона с Днем независимости республики, отметив, что отношения между двумя государствами поступательно..."", ""Эмомали Рахмон – иноагент? В Душанбе стартовал саммит Россия - Центральная Азия. Уже завтра, 3 марта намечены расширенные переговоры делегаций Таджикистана и России. Чего можно ..."", ""О выступлении Эмомали Рахмона на саммите «Россия — Центральная Азия» 1. Эмомали Рахмон, президент Таджикистана и в соответствии с Конституцией РТ «Основатель мира и национальног..."", ""Президент Таджикистана Рахмон, сделал сегодня вполне разумную вещь. В Таджикистане призвано 20 000 резервистов и их отправят на таджико - афганскую границ. Понятно, что частично...""]"
Афганистан,248,"[""Фактически современный эпизод \""16 Cases of Mission Command\"" #военный_перевод_RostislavDDD В ознаменование переброски подразделений сил специальных операций США на территорию ряд..."", ""Мохаммад Наджибулла — президент Афганистана, приветствует советские войска в Кабуле, 1986 год. #фотошурави"", ""25 декабря 1979 года начался широкомасштабный ввод ограниченного контингента Советских войск в Афганистан. К этой дате на территории Афганистана уже находились отдельные боевые ..."", ""✔️Международное сообщество должно дать радикальному движению «Талибан», захватившему власть в Афганистане, 20 месяцев для оценки своего правления. Это заявление сделал министр э..."", ""Советник президента Афганистана по нацбезопасности Хамдулла Мохиб заявил, что в афганских тюрьмах находятся россияне. Говоря о возможном сотрудничестве Москвы и Кабула, он отмет..."", ""🔺 Президент Афганистана Мохаммад Ашраф Гани подчеркнул, что национальные силы обороны и безопасности Афганистана отклонят временное мирное соглашение с движением «Талибан». През..."", ""БАГРАМ — ЭТО ЗНАКОВОЕ МЕСТО И СЕГОДНЯ, И ВО ВСЕЙ ВОЕННОЙ ИСТОРИИ АФГАНИСТАНА. ЭТО МЕСТО, ЧЕРЕЗ КОТОРОЕ ВЕДУТ ДВЕ ДОРОГИ С СЕВЕРА (СО СТОРОНЫ СНГ) В КАБУЛ. И ЭТО МЕСТО ВАКАНТНО. ..."", ""​ПАКИСТАНЦЫ ТРЕНИРУЮТСЯ НА БАЗЕ СПЕЦНАЗА ВООРУЖЁННЫХ СИЛ РОССИИ, В КРАСНОДАРСКОМ КРАЕ. И ЭТО НЕ ПЕРВЫЕ СОВМЕСТНЫЕ УЧЕНИЯ, И ЭТО НЕ ПРОСТО «ПОТРЕНИРОВАЛИСЬ И РАЗОШЛИСЬ». Горно-ле..."", ""Почти 7 миллионов человек в США вышли на протесты против Трампа, сообщили организаторы акции протеста «Без королей». Другие новости прошедшей ночи: 🟥Джей Ди Вэнс планирует посет..."", ""🖥️ Трамп заявил, что, по его мнению, на начало СВО повлияла неудачная операция США в Афганистане. «Я думаю, если бы не ситуация в Афганистане, президент России бы не пошёл на эт...""]"
Латвия,216,"[""❗️Латвия хочет закрыть Балтийское море для российских судов «Если подтвердится какого-то рода ответственность России или другой страны - ну, маловероятно, что другой страны... Я..."", ""💥 Латвийский пограничник погиб в результате подрыва на мине, которую местные власти устанавливали для «сдерживания России». Военнослужащий, совершавший обход заминированной терр..."", ""🇱🇻 Латвия вышла из Оттавской конвенции: готовится минировать границы Президент Латвии Ринкевич утвердил выход страны из Оттавской конвенции – документа, запрещающего противопехо..."", ""❗️Президент Латвии ранен Президент Латвии Эдгар Ринкевич в своём твиттер-аккаунте сообщил, что он сегодня катался на велосипеде и травмировал руку. В своём обращении он поблагод..."", ""🇱🇻 В Латвии легализовали однополое партнерство Сейм Латвии узаконил институт партнерства, в том числе однополых пар, в прошлом году. 1 июля закон вступил в силу. ✖️ Латвия стала..."", ""Будет болтаться. Медведев ответил президенту Латвии на выпад в адрес России РИА Новости. Все, кто желает смерти России, включая президента Литвы Эдгарса Ринкевичса, могут раздел..."", ""Если Россию не остановить в Украине, она может бросить вызов другим странам, - президент Латвии Эдгар Ринкевич Президент Латвии заявил, что Запад должен поддержать как Украину, ..."", ""Первыйнах! © Латвийский пограничник подорвался на минах, которые установили для \""сдерживания России\"". Пограничник забыл, где было установлено минное поле. В апреле президент Лат..."", ""Президент Латвии: мы установим противопехотные мины, но никому не расскажем, где именно."", ""На каждого Ринкевичса, рано или поздно найдётся свой Пётр Первый! ☄️Латвия рассматривает возможность закрытия Балтийского моря для российских кораблей — президент Латвии Ринкевичс.""]"
Израиль,214,"[""МИД Эстонии обвинил Россию в разжигании конфликта на Ближнем Востоке Министр иностранных дел Эстонии Маргус Цахкна заявил, что Россия якобы поддерживает Тегеран в войне против С..."", ""❗️В Израиле закончилась пресс-конференция премьер-министра страны Биньямина Нетаньяху Основные тезисы и цитаты израильского премьера: ✔️ Если появится возможность временного пре..."", ""Самолёт-заправщик тоже вылетел за самолетом президента Израиля"", ""Немке с дредами хамасовцы отрубили голову. Её тело было найдено обезглавленным – об этом заявил президент Израиля Также обезглавливание подтверждает и мать девушки. Вскрылись ин..."", ""Президент Израиля обвинил Иран в нападении ХАМАС Он считает, что Тегеран стоит за сегодняшней атакой палестинской группировки. А у Украины - Россия стоит за этим. Хотя Иран, тож..."", ""Предложение, которое Россия сумеет не принять Во время полёта в Израиль президент США Дональд Трамп вслух рассуждал о возможности новой формулы разрешения украинского конфликта...."", ""Президент Бразилии против глобалистов Президент Израиля осудил высказывания бразильского президента Лула да Силвы, который сравнил массовые убийства населения сектора газа с пре..."", ""‼️🇺🇸🇷🇺Трамп теряет уверенность: влияние на Путина тает, война на Украине продолжается, а русские дроны уже в Польше, — Axios ▪️Президент США, привыкший заявлять о своём «умении ..."", ""Доброе утро держава 🇷🇺💪🏻 Удар по сектору Газа ( на кадрах) Знаю, многие из вас только недавно начали различать зраду от перемоги. И то что сейчас происходит на ближнем востоке,б..."", ""Премьер Великобритании Сунак - на встрече с президентом Израиля Герцогом: Мы поддерживаем Израиль. Мы солидарны с вашим народом и с вашим правом защищать себя. Это не просто пра...""]"
Мексика,209,"[""Трамп намекнул, что вслед за Венесуэлой он может заняться Мексикой «Президент Мексики хорошая женщина, но она не управляет страной. Мексикой управляют картели. Нам придётся что-..."", ""Трамп встретится с Зеленским на полях саммита G7 в Канаде Президент США Дональд Трамп на полях саммита G7 в Канаде намерен провести двусторонние встречи с главой киевского режим..."", ""Трамп потребовал от президента Мексики допустить американских военных на территорию Мексики для проведения антитеррористической операции против наркокартелей Напомним, что Трамп..."", ""🔥 NBC News: Мексика отказалась принять депортационный рейс США. В пятницу вечером американский военный самолет перевозил в Мексику незаконных мигрантов, но власти страны отказал..."", ""🔥 Переименование Мексиканского залива коснется только США, заявила президент Мексики. Президент США Дональд Трамп говорит, что собирается назвать континентальный шельф заливом А..."", ""🔥 Николас Мадуро готов освободить от США Пуэрто-Рико. Для этого президент Венесуэлы хочет применить свои и даже бразильские войска. Ну или, по крайней мере, этим угрожает. У Сев..."", ""🌍 Избранный президент Мексики отказалась посетить Украину по приглашению Зеленского ✔️ Клаудия Шейнбаум отметила, что намерена поехать на некоторые международные события, но пут..."", ""Джо Байден попытался ворваться в повестку дня и перебить эфир. Комментируя критику своих мыслительных способностей, он заявил: его память в порядке. И тут же назвал президента Е..."", ""Вчера беседовал на RT с экс-президентом Эквадора легендарным Рафаэлем Кареа. Говорили о многих важных вещах - о Четвертой политической теории, о философии многополярности, о цив..."", ""В Лос-Анджелесе идет полным ходом крэштест трампизма. Калифорния - это оплот либерализма, береговая зона, Rimland. Трамп воплощает в себе Heartland внутриамериканской геополитик...""]"
Германия,208,"[""Недавно вскрылся один из малозаметных, но эффективных инструментов западного неоколониализма — зависимость стареющих автократов от европейской медицины. 80-летний президент Алжи..."", ""Президент Германии Штайнмайер — назвал главными угрозами для немцев Россию и ультраправых: Ещё никогда в истории нашего объединённого государства демократия и свобода не подверг..."", ""Творческий коллектив выступает в церкви на разогреве у президента Германии Франка-Вальтера Штайнмайера. 🇷🇺 Подписаться - АдекВатные новости"", ""В годовщину начала Второй мировой войны президент Польши выступил с заявлением и потребовал от Германии выплатить репарации. Об этом сообщил портал RMF24. Навроцкий подчеркнул, ..."", ""🇩🇪 Президент Германии распустил Бундестаг Президент ФРГ Франк-Вальтер Штайнмайер объявил о намерении распустить Бундестаг после того, как тот отказал в доверии правительству кан..."", ""😄Трампу приготовится – в 404 обсуждается кандидатура на должность посла в США. Как сообщил председатель правления Института мировой политики Виктор Шлинчак, новым послом «незале..."", ""🔥 Раскол в правительстве ФРГ. Президент Германии пытается продавить военную помощь Киеву несмотря на блокировку Минфина. Лидер ФРГ Франк-Вальтер Штайнмайер во время визита в вен..."", ""🇩🇪🇹🇷 Президента Германии встретили протестами в Турции Президент Франк-Вальтер Штайнмайер во время делового визита в Анкару посетил провинцию Газиантеп, которая 6 февраля постра..."", ""ОРАНЖЕВЫЙ ПОЛУЗАЩИТНИК ХРИСТИАНСТВА Дональд Трамп выступил с разгромной речью в ООН. Свое выступление он начал с того, что по традиции начал хвалить себя и ругать других. По сло..."", ""Президент Германии Франк-Вальтер Штайнмайер и канцлер ФРГ Фридрих Мерц в ходе приема польского президента Кароля Навроцкого в Берлине в очередной раз отвергли требования Польши ...""]"
Хорватия,205,"[""🔥 Армия Хорватии не будет участвовать в мероприятиях НАТО по обеспечению безопасности и подготовке Украины. Разрешение не дал глава государства Зоран Миланович, сообщает Офис пр..."", ""✔️Вашингтонский обком находится в активном поиске нового генсека НАТО и продолжает соответствующие смотрины. Кого уже только не собеседовали на место, которое пока что греет Сто..."", ""✔️«- Продлевать будете? - Думаем, с тебя достаточно» Примерно из такого диалога Йенс Столтенберг узнал, что его мандат на осуществление полномочий генерального секретаря НАТО за..."", ""Президент Хорватии Зоран Миланович катком проехался по теме конфликта на Украине и отношений России с Западом: - Россию провоцировали на начало боевых действий с 2014 года - Зап..."", ""Финский президент Александр Стубб снова взялся за старое. «На полях» форума в Давосе он дал интервью журналистам Bloomberg, в котором заявил следующее: «Министр иностранных дел ..."", ""Действующий президент Хорватии Зоран Миланович победил на президентских выборах. Он набрал 74,66% голосов избирателей по итогам второго тура. Об этом сообщает Государственная из..."", ""Действующий президент Хорватии Зоран Миланович со значительным отрывом лидирует по итогам второго тура выборов главы государства, свидетельствуют результаты экзитпола."", ""Действующий президент Хорватии Зоран Миланович набрал 51,48% голосов на выборах, сообщает радио и телевидение страны по результатам exit poll. Второе место занял Драган Приморац..."", ""❗️ Президент Хорватии заявил, что не допустит отправки своих солдат на Украину. «Пока я президент Хорватии, я не подпишу [документ], чтобы хорватские солдаты присутствовали на У..."", ""❗️Мнение о том, что конфликт на Украине грозит Киеву экономическим и демографическим уничтожением, его завершение зависит лишь от Москвы и Вашингтона, выразил президент Хорватии...""]"
Эстония,195,"[""Президент Эстонии Карис признал необходимость выстраивать дипотношения с Россией После окончания боевых действий на территории Украины Эстонии придется восстанавливать дипломати..."", ""🇪🇪 Президент Эстонии заявил о необходимости «поставить Россию на колени» Эстония сделает все возможное для этого, заявил Алар Карис. 📝 «Тогда могут начаться серьезные переговоры..."", ""Эстония предоставит Украине долгосрочный пакет помощи на сумму в €1,2 млрд, — президент Эстонии Алар Карси на пресс-конференции с Зеленским Также он заявил, что Эстония выступае..."", ""🇪🇪🇺🇦 Президент Эстонии: \""Эстония против ограничений на удары по России оружием, которое дают Украине западные партнеры\"" Ну от проебалтов я другого и не ожидал, если честно. Эти ..."", ""Всем стало страшно? Президент Эстонии Карис: — Мы сделаем всё, что в наших силах, чтобы поставить Россию и Путина на колени. Ять, ну эти-то шавки куда? Вредные, маленькие кулацк..."", ""Эстония выступает за то, чтобы разрешить ВСУ наносить удары по России западным оружием — президент Эстонии Алар Карси на пресс-конференции с Гнидой. По лезвию прошёлся."", ""🌐 ЧУЖИЕ ГОЛОСА: БОЛТОВНЯ И ПРОПАГАНДА 🇬🇧«Sky News»: «Эстония вновь на трибуне» «Президент Эстонии заявил в ООН, что война России на Украине подрывает авторитет Организации Объед..."", ""Запросы на то, чтобы ударить западными системами по старой территории России идут давно. Залужный еще в прошлом году причитал, мол американцы не дают ему защитить свой народ и н..."", ""Борис Джонсон, Марио Драги, премьер Эстонии, президент Шри-Ланки скоропостижно заканчивают свою политическую карьеру 🤔 Смотрите ка, а санкции работают😜"", ""ПОГРАНИЧНЫЙ ДОГОВОР С ЭСТОНИЕЙ Президент Эстонии Керсти Кальюлайд выступила за ратификацию пограничного договора с Россией, одобрив позицию правительства. Немногим ранее МИД Эст...""]"
Молдова,184,"[""⚡️⚡️⚡️#Инсайд Наш источник в ОП рассказал, что Офис Президента передал MI-6 планы Украинского Генштаба по военной операции против Приднестровья. Британия должна продавить Презид..."", ""⚡️Санду сдала страну. Официально. Президент Молдовы публично заявляет, что проголосовала бы за присоединение к Румынии. Не за союз, не за партнерство — за поглощение. Под соусом..."", ""⚡️Санду обвинила Грузию в колонизации Россией. Президент Молдовы Майя Санду вновь выступила с резкими заявлениями, на этот раз обвинив Грузию в том, что она стала «колонией Росс..."", ""🇲🇩 35 лет независимости. В Приднестровье 2 сентября отмечали День Республики. 60% жителей Приднестровья – русские и украинцы. Они объявили о выходе из состава Молдовы еще в 1990..."", ""Санду заявила, что Молдова нуждается в экономической помощи Евросоюза, чтобы сохранить проевропейский курс в 2024 году. \""Сложно добиться поддержки демократии, когда экономическа..."", ""Из жизни насекомых: Президент Молдовы Майя Санду отправит группу полицейских для помощи расследования в покушении на Дональда Трампа."", ""✔️«Я тот человек, к которому они обращаются, когда хотят кого-то обвинить», - заявил о себе родившийся в Венгрии, переживший холокост и работающий на США миллиардер еврейского п..."", ""Хотите покажем, кто нашептивает на ушко президентке Молдовы госпоже Санду? Вот он - Советник Посольства Украины в Республике Молдова, сотрудник СВР Украины и видимо бывший сотру..."", ""🤡 Скандал: Санду обвинили в тайной и незаконной покупке спермы открытых представителей ЛГБТ*, таких как Элтон Джон, Рики Мартин и Нил Патрик Харрис. О целях сбора биологического..."", ""Уникальная ситуация с выборами президента Молдовы: Майя Санду победила за счет пакета голосов, которые получила от избирателей, которые уехали на заработки в Европу, Израиль и д...""]"
